"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","date_time","class"
"true","false","No","1","false","1","false","1","type_A","false","false","false","904","0","false","false","type_A","1","false","1","160.0","D","70.56","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","0.43","not_valid","true","0","false","false","0.0","type_B","false","false","0","0","1","false","false","not_valid","1","160.0","2017-04-18T09:17:44.231","0"
"true","false","No","1","false","1","false","1","type_A","false","false","false","904","0","false","false","type_A","1","false","1","159.0","C","79.33","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","0.22","not_valid","true","0","false","false","0.0","type_B","false","false","0","0","1","false","false","not_valid","1","159.0","2017-04-08T05:56:06.599","0"
"no_data","false","Yes","1","true","1","false","1","type_A","false","false","false","500","0","false","false","type_A","1","false","1","118.0","D","1.41","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","false","no_match","false","false","true","full_match","false","false","false","0","0.0","false","false","false","0.36","false","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","118.0","2017-05-02T16:28:43.207","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","500","0","false","false","type_A","1","false","1","155.0","D","2.29","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","true","no_match","false","false","true","no_match","false","false","false","0","0.0","false","false","false","1.0","false","false","0","false","false","0.0","type_B","false","false","0","0","1","false","false","not_valid","1","155.0","2017-05-17T06:48:45.574","0"
"true","false","Yes","1","true","1","false","1","type_A","false","false","false","500","0","false","false","type_B","1","false","1","125.0","D","0.92","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","false","no_match","false","false","true","full_match","false","false","false","0","0.0","false","false","false","1.0","not_valid","true","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","125.0","2017-05-09T18:53:05.890","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","500","0","false","false","type_B","1","false","1","150.0","D","2.41","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","false","no_match","false","false","true","no_match","false","false","false","0","0.0","false","false","false","0.44","not_valid","true","0","false","false","0.0","type_B","false","false","0","0","1","false","false","not_valid","1","150.0","2017-05-09T20:28:13.329","0"
"false","false","Yes","1","true","1","false","1","type_A","true","true","true","500","28","false","false","type_A","1","true","1","277.5","A","0.94","full_match","1","1","1","false","true","18","true","false","false","true","false","3","true","true","not_valid","false","false","true","not_valid","false","false","false","17","15540.0","true","false","true","1.0","true","false","1","true","false","15540.0","type_A","false","false","17","0","0","true","true","not_valid","0","15817.5","2017-04-09T08:14:35.114","0"
"no_data","false","Yes","1","true","2","false","1","type_C","false","false","false","500","0","false","false","type_B","1","false","1","57.5","D","0.16","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","1.0","not_valid","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","57.5","2017-04-10T18:24:55.157","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","92","2015","false","false","type_A","1","true","1","111.0","A","0.1","full_match","1","1","1","false","false","1","false","not_valid","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","true","false","1.0","not_valid","false","0","true","true","0.0","type_C","true","true","0","0","0","false","true","not_valid","1","111.00000000000001","2017-04-13T09:55:29.455","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","false","500","0","false","false","type_A","1","false","1","485.0","B","1.2","full_match","1","1","1","false","false","0","false","false","false","true","false","2","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","0.42","false","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","485.0","2017-04-18T06:58:14.173","0"
